Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1990,490.0,1209440.0,77533290.0,5500.0,788800.0,17690.0,314770.0,55989620.0,334730.0,18070.0,10110.0,134574660.0,3775670.0,944740.0,276480.0,677400.0,6980120.0,4210.0,8299110.5,1985310.0,3327000.0,1370.0,509860.0,2210000.0,170.0,7780000.0,1579830.0,780.0,61774240.0,618443260.0,6300.0,413000.0,2506720.0,15727900.0,46434910.0,360777280.0,1153500.0,16810950.0,157140590.0,8297099.5,22500000.0,160540200.0,22255000.0,14910.0,65102800.0,47160.0,33500.0,2758740.0,2312000.0,70.0,13130.0,161110.0,2839480.0,11300000.0,5600.0,58830.0,531440.0,2132150.0,1714960.0,14632210.0,3910.0,1651310.0,605450.0,13904660.0,2205900.0,28537500.0,21875330.0,939690.0,0.0,14436000.0,80.0,63580.0,23774230.0,2778000.0,3030400.0,220.0,5806160.0,0.0,7202210.0,73170.0,414730.0,2257390.0,2699150.0,3708900.0,17700.0,220.0,4852410.0,8125000.0,24000.0,18602150.0,7644210.0,1850000.0,369200.0,1813900.0,116334500.0,3630.0,63938000.0,461640.0,10751000.0,803500.0,17930.0,132000.0,7589750.0,521280.03,600.0,70700.0,24950000.0,3162240.0,3740600.0,1136420.0,11004790.0,1070.0,11000.0,6551000.0,3450.0,14399280.0,137920.0,8008760.0,217000.0,27060.0,5200.0,2369940.0,34520.0,1945000.0,85800.0,3173000.0,1240.0,5700990.0,0.0,325400.0,13677140.0,3720.0,71803930.0,9400.0,912000.0,13998360.0,350.0,39218480.0,626000.0,14352000.0,20320.0,41588910.0,927150.0,3500.0,47840.0,41070.0,3501760.0,20618500.0,19250.0,8769170.0,831130.0,1945000.0,490.0,21570860.0,7098900.0,18930.0,345330.0,12216870.0,5748110.0,0.0,9372270.0,1600.0,4343532500.0,3461010.0,4956040.0,3690.0,77037890.0,7778810.0,38150.0,34614360.0,8882000.0,303830.0,7455430.0,3438420.0,25679680.0,9080.0,144430.0,1400.0,67950.0,6371000.0,811641340.0,436850.0,2768050.0,28075300.0,9193360.0,14830.0,0.0,2539710.0,3126700.0,735510.0,1000.0,8283500.0,1900.0,2313000.0,7104200.0,59070.0,14866250.0,1902480.0,1188000.0,28063000.0,485570.0,300.0,34130.0,450990.0,10520.0,6730080.0,1298060.0,20235000.0,408000.0,0.0,2330000.0,1100570.0,8730.0,240900.0,643980.0,19783480.0,1030.0,58165000.0,4548030.0,9274000.0,879440.0,302450000.0,2549370.0,0.0,28520.0,50483580.0,10000.0,20410.0,9375960.0,990890.0,9630.0,176580.0,549000.0,19816560.0,47412000.0,16715381.0
1991,490.0,1209440.0,77381260.0,5500.0,786850.0,17650.0,314790.0,55734880.0,334521.0,18036.0,10044.0,134407920.0,3781917.0,948988.0,268226.0,676390.0,6849535.0,4210.0,8106996.5,1978812.0,3331800.0,1370.0,509860.0,2200165.0,170.0,7829300.0,1572240.0,780.0,61505412.0,612671000.0,6300.0,411400.0,2516648.0,15727900.0,46399916.0,360730050.0,1157768.0,16872314.0,159126600.0,8083651.5,22409750.0,159865200.0,22243000.0,14976.0,64849556.0,46722.0,33940.0,2767771.0,2350700.0,70.0,13110.0,162160.0,2842060.0,11305400.0,5600.0,58802.0,535456.0,2135515.0,1714286.0,14542039.0,3910.0,1645330.0,598859.0,14223587.0,2209199.0,28464690.0,21932362.0,946368.0,0.0,14521200.0,80.0,63608.0,23766970.0,2795600.0,3031230.0,220.0,5841880.0,0.0,7135213.0,73080.0,409044.0,2252363.0,2690793.0,3708900.0,17700.0,220.0,4789835.0,8120444.0,24000.0,18598358.0,7592736.0,1853500.0,370700.0,1824627.0,113896910.0,3630.0,64303300.0,478512.0,10751000.0,804912.0,19359.0,134100.0,7667700.0,521253.03,600.0,70700.0,24942600.0,3161709.0,3748161.0,1140868.0,10982411.0,1070.0,11000.0,6543500.0,3604.0,14364356.0,138017.0,8008760.0,216667.0,27260.0,5218.0,2356060.0,34520.0,1952500.0,85890.0,3179800.0,1240.0,5700758.0,0.0,327300.0,13610862.0,3720.0,71582904.0,9400.0,916555.0,13897814.0,350.0,38783444.0,626000.0,14343190.0,20320.0,41321880.0,929778.0,3392.0,47930.0,41156.0,3459754.0,20525784.0,18804.0,8698161.0,831802.0,1883310.0,490.0,21443976.0,6999580.0,18920.0,346747.0,12215031.0,5764851.0,0.0,9420087.0,1600.0,4332838000.0,3446600.0,4939514.0,3690.0,76738550.0,7731855.0,38293.0,34592444.0,8899700.0,316362.0,7455430.0,3429435.0,25302682.0,9080.0,144842.0,1400.0,68252.0,6370500.0,811721700.0,434088.0,2768050.0,27901160.0,9177815.0,15048.0,0.0,2538973.0,3106973.0,732540.0,1000.0,8206750.0,1877.0,2330020.0,7105200.0,59017.0,14869823.0,1902373.0,1192500.0,28073000.0,484070.0,300.0,33913.0,451968.0,10520.0,6692346.0,1295100.0,20228000.0,408200.0,0.0,2330000.0,1099170.0,8730.0,240475.0,646366.0,19819968.0,1030.0,57762000.0,4433311.0,9297600.0,925125.0,302558600.0,2590579.0,0.0,28522.0,50358380.0,9999.0,20298.0,9616774.0,988506.0,9581.0,176099.0,549000.0,19904128.0,47376200.0,16609662.0
1992,490.0,1209440.0,77229250.0,5500.0,784900.0,17610.0,314810.0,55480140.0,334312.0,18002.0,9978.0,134241180.0,3788164.0,953236.0,259972.02,675380.0,6718950.0,4210.0,7914882.5,1972314.0,3336600.0,1370.0,509860.0,2190330.0,170.0,7878600.0,1564650.0,780.0,61236584.0,606898700.0,6300.0,409800.0,2526576.0,15727900.0,46364924.0,360682800.0,1162036.0,16933678.0,161112590.0,7870203.5,22319498.0,159190200.0,22231000.0,15042.0,64596308.0,46284.0,34380.0,2776802.0,2389400.0,70.0,13090.0,163210.0,2844640.0,11310800.0,5600.0,58774.0,539472.0,2138880.0,1713612.0,14451868.0,3910.0,1639350.0,592268.0,14542514.0,2212498.0,28391880.0,21989392.0,953046.0,0.0,14606400.0,80.0,63636.0,23759708.0,2813200.0,3032060.0,220.0,5877600.0,0.0,7068216.0,72990.0,403358.0,2247336.0,2682436.0,3708900.0,17700.0,220.0,4727260.0,8115888.0,24000.0,18594564.0,7541262.0,1857000.0,372200.0,1835354.0,111459320.0,3630.0,64668600.0,495384.0,10751000.0,806324.0,20788.0,136200.0,7745650.0,521226.03,600.0,70700.0,24935200.0,3161178.0,3755722.0,1145316.0,10960032.0,1070.0,11000.0,6536000.0,3758.0,14329432.0,138114.0,8008760.0,216334.0,27460.0,5236.0,2342180.0,34520.0,1960000.0,85980.0,3186600.0,1240.0,5700526.0,0.0,329200.0,13544584.0,3720.0,71361870.0,9400.0,921110.0,13797268.0,350.0,38348410.0,626000.0,14334380.0,20320.0,41054852.0,932406.0,3284.0,48020.0,41242.0,3417748.0,20433070.0,18358.0,8627152.0,832474.0,1821620.0,490.0,21317094.0,6900260.0,18910.0,348164.0,12213192.0,5781592.0,0.0,9467904.0,1600.0,4322142700.0,3432190.0,4922988.0,3690.0,76439220.0,7684900.0,38436.0,34570532.0,8917400.0,328894.0,7455430.0,3420450.0,24925686.0,9080.0,145254.0,1400.0,68554.0,6370000.0,811802100.0,431326.0,2768050.0,27727020.0,9162270.0,15266.0,0.0,2538236.0,3087246.0,729570.0,1000.0,8130000.0,1854.0,2347040.0,7106200.0,58964.0,14873396.0,1902266.0,1197000.0,28083000.0,482570.0,300.0,33696.0,452946.0,10520.0,6654612.0,1292140.0,20221000.0,408400.0,0.0,2330000.0,1097770.0,8730.0,240050.0,648752.0,19856454.0,1030.0,57359000.0,4318592.0,9321200.0,970810.0,302667200.0,2631788.0,0.0,28524.0,50233180.0,9998.0,20186.0,9857588.0,986122.0,9532.0,175618.0,549000.0,19991696.0,47340400.0,16503943.0
1993,490.0,1209440.0,77077224.0,5500.0,782950.0,17570.0,314830.0,55225400.0,334103.0,17968.0,9912.0,134074450.0,3794411.0,957484.0,251718.02,674370.0,6588365.0,4210.0,7722768.5,1965816.0,3341400.0,1370.0,509860.0,2180495.0,170.0,7927900.0,1557060.0,780.0,60967756.0,601126400.0,6300.0,408200.0,2536504.0,15727900.0,46329932.0,360635620.0,1166304.0,16995042.0,163098580.0,7656756.0,22229248.0,158515230.0,22219000.0,15108.0,64343064.0,45846.0,34820.0,2785833.0,2428100.0,70.0,13070.0,164260.0,2847220.0,11316200.0,5600.0,58746.0,543488.0,2142245.0,1712938.0,14361697.0,3910.0,1633370.0,585677.0,14861441.0,2215797.0,28319070.0,22046424.0,959724.0,0.0,14691600.0,80.0,63664.0,23752448.0,2830800.0,3032890.0,220.0,5913320.0,0.0,7001219.0,72900.0,397672.0,2242309.0,2674079.0,3708900.0,17700.0,220.0,4664685.0,8111332.0,24000.0,18590772.0,7489788.0,1860500.0,373700.0,1846081.0,109021730.0,3630.0,65033900.0,512256.0,10751000.0,807736.0,22217.0,138300.0,7823600.0,521199.03,600.0,70700.0,24927800.0,3160647.0,3763283.0,1149764.0,10937653.0,1070.0,11000.0,6528500.0,3912.0,14294508.0,138211.0,8008760.0,216001.0,27660.0,5254.0,2328300.0,34520.0,1967500.0,86070.0,3193400.0,1240.0,5700294.0,0.0,331100.0,13478306.0,3720.0,71140850.0,9400.0,925665.0,13696722.0,350.0,37913370.0,626000.0,14325570.0,20320.0,40787824.0,935034.0,3176.0,48110.0,41328.0,3375742.0,20340354.0,17912.0,8556143.0,833146.0,1759930.0,490.0,21190210.0,6800940.0,18900.0,349581.0,12211353.0,5798333.0,0.0,9515721.0,1600.0,4311448000.0,3417780.0,4906462.0,3690.0,76139880.0,7637945.0,38579.0,34548616.0,8935100.0,341426.0,7455430.0,3411465.0,24548690.0,9080.0,145666.0,1400.0,68856.0,6369500.0,811882560.0,428564.0,2768050.0,27552880.0,9146725.0,15484.0,0.0,2537499.0,3067519.0,726600.0,1000.0,8053250.0,1831.0,2364060.0,7107200.0,58911.0,14876969.0,1902159.0,1201500.0,28093000.0,481070.0,300.0,33479.0,453924.0,10520.0,6616878.0,1289180.0,20214000.0,408600.0,0.0,2330000.0,1096370.0,8730.0,239625.0,651138.0,19892942.0,1030.0,56956000.0,4203873.0,9344800.0,1016495.0,302775800.0,2672997.0,0.0,28526.0,50107980.0,9997.0,20074.0,10098402.0,983738.0,9483.0,175137.0,549000.0,20079264.0,47304600.0,16398224.0
1994,490.0,1209440.0,76925210.0,5500.0,781000.0,17530.0,314850.0,54970660.0,333894.0,17934.0,9846.0,133907710.0,3800658.0,961732.0,243464.0,673360.0,6457780.0,4210.0,7530654.5,1959318.0,3346200.0,1370.0,509860.0,2170660.0,170.0,7977200.0,1549470.0,780.0,60698932.0,595354100.0,6300.0,406600.0,2546432.0,15727900.0,46294940.0,360588380.0,1170572.0,17056406.0,165084580.0,7443308.0,22138996.0,157840240.0,22207000.0,15174.0,64089816.0,45408.0,35260.0,2794864.0,2466800.0,70.0,13050.0,165310.0,2849800.0,11321600.0,5600.0,58718.0,547504.0,2145610.0,1712264.0,14271526.0,3910.0,1627390.0,579086.0,15180368.0,2219096.0,28246260.0,22103454.0,966402.0,0.0,14776800.0,80.0,63692.0,23745186.0,2848400.0,3033720.0,220.0,5949040.0,0.0,6934222.0,72810.0,391986.0,2237282.0,2665722.0,3708900.0,17700.0,220.0,4602110.0,8106776.0,24000.0,18586978.0,7438314.0,1864000.0,375200.0,1856808.0,106584140.0,3630.0,65399200.0,529128.0,10751000.0,809148.0,23646.0,140400.0,7901550.0,521172.03,600.0,70700.0,24920400.0,3160116.0,3770844.0,1154212.0,10915274.0,1070.0,11000.0,6521000.0,4066.0,14259584.0,138308.0,8008760.0,215668.0,27860.0,5272.0,2314420.0,34520.0,1975000.0,86160.0,3200200.0,1240.0,5700062.0,0.0,333000.0,13412028.0,3720.0,70919820.0,9400.0,930220.0,13596176.0,350.0,37478332.0,626000.0,14316760.0,20320.0,40520796.0,937662.0,3068.0,48200.0,41414.0,3333736.0,20247640.0,17466.0,8485134.0,833818.0,1698240.0,490.0,21063328.0,6701620.0,18890.0,350998.0,12209514.0,5815074.0,0.0,9563538.0,1600.0,4300753400.0,3403370.0,4889936.0,3690.0,75840540.0,7590990.0,38722.0,34526704.0,8952800.0,353958.0,7455430.0,3402480.0,24171692.0,9080.0,146078.0,1400.0,69158.0,6369000.0,811962940.0,425802.0,2768050.0,27378740.0,9131180.0,15702.0,0.0,2536762.0,3047792.0,723630.0,1000.0,7976500.0,1808.0,2381080.0,7108200.0,58858.0,14880542.0,1902052.0,1206000.0,28103000.0,479570.0,300.0,33262.0,454902.0,10520.0,6579144.0,1286220.0,20207000.0,408800.0,0.0,2330000.0,1094970.0,8730.0,239200.0,653524.0,19929428.0,1030.0,56553000.0,4089154.0,9368400.0,1062180.0,302884400.0,2714206.0,0.0,28528.0,49982780.0,9996.0,19962.0,10339216.0,981354.0,9434.0,174656.0,549000.0,20166832.0,47268800.0,16292505.0
1995,490.0,1209440.0,76773180.0,5500.0,779050.0,17490.0,314870.0,54715920.0,333685.0,17900.0,9780.0,133740980.0,3806905.0,965980.0,235210.0,672350.0,6327195.0,4210.0,7338540.5,1952820.0,3351000.0,1370.0,509860.0,2160825.0,170.0,8026500.0,1541880.0,780.0,60430104.0,589581800.0,6300.0,405000.0,2556360.0,15727900.0,46259948.0,360541150.0,1174840.0,17117770.0,167070580.0,7229860.0,22048746.0,157165250.0,22195000.0,15240.0,63836572.0,44970.0,35700.0,2803895.0,2505500.0,70.0,13030.0,166360.0,2852380.0,11327000.0,5600.0,58690.0,551520.0,2148975.0,1711590.0,14181355.0,3910.0,1621410.0,572495.0,15499295.0,2222395.0,28173450.0,22160486.0,973080.0,0.0,14862000.0,80.0,63720.0,23737924.0,2866000.0,3034550.0,220.0,5984760.0,0.0,6867225.0,72720.0,386300.0,2232255.0,2657365.0,3708900.0,17700.0,220.0,4539535.0,8102220.0,24000.0,18583186.0,7386840.0,1867500.0,376700.0,1867535.0,104146550.0,3630.0,65764500.0,546000.0,10751000.0,810560.0,25075.0,142500.0,7979500.0,521145.03,600.0,70700.0,24913000.0,3159585.0,3778405.0,1158660.0,10892895.0,1070.0,11000.0,6513500.0,4220.0,14224660.0,138405.0,8008760.0,215335.0,28060.0,5290.0,2300540.0,34520.0,1982500.0,86250.0,3207000.0,1240.0,5699830.0,0.0,334900.0,13345750.0,3720.0,70698790.0,9400.0,934775.0,13495630.0,350.0,37043296.0,626000.0,14307950.0,20320.0,40253764.0,940290.0,2960.0,48290.0,41500.0,3291730.0,20154924.0,17020.0,8414125.0,834490.0,1636550.0,490.0,20936444.0,6602300.0,18880.0,352415.0,12207675.0,5831815.0,0.0,9611355.0,1600.0,4290058800.0,3388960.0,4873410.0,3690.0,75541210.0,7544035.0,38865.0,34504788.0,8970500.0,366490.0,7455430.0,3393495.0,23794696.0,9080.0,146490.0,1400.0,69460.0,6368500.0,812043300.0,423040.0,2768050.0,27204600.0,9115635.0,15920.0,0.0,2536025.0,3028065.0,720660.0,1000.0,7899750.0,1785.0,2398100.0,7109200.0,58805.0,14884115.0,1901945.0,1210500.0,28113000.0,478070.0,300.0,33045.0,455880.0,10520.0,6541410.0,1283260.0,20200000.0,409000.0,0.0,2330000.0,1093570.0,8730.0,238775.0,655910.0,19965916.0,1030.0,56150000.0,3974435.0,9392000.0,1107865.0,302993000.0,2755415.0,0.0,28530.0,49857580.0,9995.0,19850.0,10580030.0,978970.0,9385.0,174175.0,549000.0,20254400.0,47233000.0,16186786.0
1996,490.0,1209440.0,76621160.0,5500.0,777100.0,17450.0,314890.0,54461180.0,333476.0,17866.0,9714.0,133574240.0,3813152.0,970228.0,226956.0,671340.0,6196610.0,4210.0,7146426.5,1946322.0,3355800.0,1370.0,509860.0,2150990.0,170.0,8075800.0,1534290.0,780.0,60161276.0,583809540.0,6300.0,403400.0,2566288.0,15727900.0,46224956.0,360493920.0,1179108.0,17179134.0,169056560.0,7016412.0,21958494.0,156490260.0,22183000.0,15306.0,63583324.0,44532.0,36140.0,2812926.0,2544200.0,70.0,13010.0,167410.0,2854960.0,11332400.0,5600.0,58662.0,555536.0,2152340.0,1710916.0,14091184.0,3910.0,1615430.0,565904.0,15818222.0,2225694.0,28100640.0,22217516.0,979758.0,0.0,14947200.0,80.0,63748.0,23730664.0,2883600.0,3035380.0,220.0,6020480.0,0.0,6800228.0,72630.0,380614.0,2227228.0,2649008.0,3708900.0,17700.0,220.0,4476960.0,8097664.0,24000.0,18579392.0,7335366.0,1871000.0,378200.0,1878262.0,101708960.0,3630.0,66129800.0,562872.0,10751000.0,811972.0,26504.0,144600.0,8057450.0,521118.03,600.0,70700.0,24905600.0,3159054.0,3785966.0,1163108.0,10870516.0,1070.0,11000.0,6506000.0,4374.0,14189736.0,138502.0,8008760.0,215002.0,28260.0,5308.0,2286660.0,34520.0,1990000.0,86340.0,3213800.0,1240.0,5699598.0,0.0,336800.0,13279472.0,3720.0,70477770.0,9400.0,939330.0,13395084.0,350.0,36608256.0,626000.0,14299140.0,20320.0,39986736.0,942918.0,2852.0,48380.0,41586.0,3249724.0,20062210.0,16574.0,8343116.0,835162.0,1574860.0,490.0,20809562.0,6502980.0,18870.0,353832.0,12205836.0,5848556.0,0.0,9659172.0,1600.0,4279364000.0,3374550.0,4856884.0,3690.0,75241870.0,7497080.0,39008.0,34482876.0,8988200.0,379022.0,7455430.0,3384510.0,23417698.0,9080.0,146902.0,1400.0,69762.0,6368000.0,812123800.0,420278.0,2768050.0,27030460.0,9100090.0,16138.0,0.0,2535288.0,3008338.0,717690.0,1000.0,7823000.0,1762.0,2415120.0,7110200.0,58752.0,14887688.0,1901838.0,1215000.0,28123000.0,476570.0,300.0,32828.0,456858.0,10520.0,6503676.0,1280300.0,20193000.0,409200.0,0.0,2330000.0,1092170.0,8730.0,238350.0,658296.0,20002402.0,1030.0,55747000.0,3859716.0,9415600.0,1153550.0,303101600.0,2796624.0,0.0,28532.0,49732380.0,9994.0,19738.0,10820844.0,976586.0,9336.0,173694.0,549000.0,20341968.0,47197200.0,16081067.0
1997,490.0,1209440.0,76469144.0,5500.0,775150.0,17410.0,314910.0,54206440.0,333267.0,17832.0,9648.0,133407500.0,3819399.0,974476.0,218702.0,670330.0,6066025.0,4210.0,6954312.5,1939824.0,3360600.0,1370.0,509860.0,2141155.0,170.0,8125100.0,1526700.0,780.0,59892450.0,578037250.0,6300.0,401800.0,2576216.0,15727900.0,46189964.0,360446720.0,1183376.0,17240498.0,171042560.0,6802964.0,21868244.0,155815280.0,22171000.0,15372.0,63330080.0,44094.0,36580.0,2821957.0,2582900.0,70.0,12990.0,168460.0,2857540.0,11337800.0,5600.0,58634.0,559552.0,2155705.0,1710242.0,14001013.0,3910.0,1609450.0,559313.0,16137149.0,2228993.0,28027830.0,22274548.0,986436.0,0.0,15032400.0,80.0,63776.0,23723402.0,2901200.0,3036210.0,220.0,6056200.0,0.0,6733231.0,72540.0,374928.0,2222201.0,2640651.0,3708900.0,17700.0,220.0,4414385.0,8093108.0,24000.0,18575600.0,7283892.0,1874500.0,379700.0,1888989.0,99271370.0,3630.0,66495100.0,579744.0,10751000.0,813384.0,27933.0,146700.0,8135400.0,521091.0,600.0,70700.0,24898200.0,3158523.0,3793527.0,1167556.0,10848137.0,1070.0,11000.0,6498500.0,4528.0,14154812.0,138599.0,8008760.0,214669.0,28460.0,5326.0,2272780.0,34520.0,1997500.0,86430.0,3220600.0,1240.0,5699366.0,0.0,338700.0,13213194.0,3720.0,70256740.0,9400.0,943885.0,13294538.0,350.0,36173220.0,626000.0,14290330.0,20320.0,39719708.0,945546.0,2744.0,48470.0,41672.0,3207718.0,19969494.0,16128.0,8272107.0,835834.0,1513170.0,490.0,20682678.0,6403660.0,18860.0,355249.0,12203997.0,5865297.0,0.0,9706989.0,1600.0,4268669200.0,3360140.0,4840358.0,3690.0,74942536.0,7450125.0,39151.0,34460960.0,9005900.0,391554.0,7455430.0,3375525.0,23040702.0,9080.0,147314.0,1400.0,70064.0,6367500.0,812204160.0,417516.0,2768050.0,26856320.0,9084545.0,16356.0,0.0,2534551.0,2988611.0,714720.0,1000.0,7746250.0,1739.0,2432140.0,7111200.0,58699.0,14891261.0,1901731.0,1219500.0,28133000.0,475070.0,300.0,32611.0,457836.0,10520.0,6465942.0,1277340.0,20186000.0,409400.0,0.0,2330000.0,1090770.0,8730.0,237925.0,660682.0,20038888.0,1030.0,55344000.0,3744997.0,9439200.0,1199235.0,303210200.0,2837833.0,0.0,28534.0,49607180.0,9993.0,19626.0,11061658.0,974202.0,9287.0,173213.0,549000.0,20429536.0,47161400.0,15975348.0
1998,490.0,1209440.0,76317120.0,5500.0,773200.0,17370.0,314930.0,53951700.0,333058.0,17798.0,9582.0,133240770.0,3825646.0,978724.0,210448.0,669320.0,5935440.0,4210.0,6762198.0,1933326.0,3365400.0,1370.0,509860.0,2131320.0,170.0,8174400.0,1519110.0,780.0,59623624.0,572264960.0,6300.0,400200.0,2586144.0,15727900.0,46154972.0,360399500.0,1187644.0,17301862.0,173028560.0,6589516.0,21777992.0,155140290.0,22159000.0,15438.0,63076830.0,43656.0,37020.0,2830988.0,2621600.0,70.0,12970.0,169510.0,2860120.0,11343200.0,5600.0,58606.0,563568.0,2159070.0,1709568.0,13910842.0,3910.0,1603470.0,552722.0,16456076.0,2232292.0,27955020.0,22331578.0,993114.0,0.0,15117600.0,80.0,63804.0,23716142.0,2918800.0,3037040.0,220.0,6091920.0,0.0,6666234.0,72450.0,369242.0,2217174.0,2632294.0,3708900.0,17700.0,220.0,4351810.0,8088552.0,24000.0,18571806.0,7232418.0,1878000.0,381200.0,1899716.0,96833784.0,3630.0,66860400.0,596616.0,10751000.0,814796.0,29362.002,148800.0,8213350.0,521064.0,600.0,70700.0,24890800.0,3157992.0,3801088.0,1172004.0,10825758.0,1070.0,11000.0,6491000.0,4682.0,14119888.0,138696.0,8008760.0,214336.0,28660.0,5344.0,2258900.0,34520.0,2005000.0,86520.0,3227400.0,1240.0,5699134.0,0.0,340600.0,13146916.0,3720.0,70035710.0,9400.0,948440.0,13193992.0,350.0,35738184.0,626000.0,14281520.0,20320.0,39452680.0,948174.0,2636.0,48560.0,41758.0,3165712.0,19876780.0,15682.0,8201098.0,836506.0,1451480.0,490.0,20555796.0,6304340.0,18850.0,356666.0,12202158.0,5882038.0,0.0,9754806.0,1600.0,4257974500.0,3345730.0,4823832.0,3690.0,74643200.0,7403170.0,39294.0,34439050.0,9023600.0,404086.0,7455430.0,3366540.0,22663704.0,9080.0,147726.0,1400.0,70366.0,6367000.0,812284540.0,414754.0,2768050.0,26682180.0,9069000.0,16574.0,0.0,2533814.0,2968884.0,711750.0,1000.0,7669500.0,1716.0,2449160.0,7112200.0,58646.0,14894834.0,1901624.0,1224000.0,28143000.0,473570.0,300.0,32394.0,458814.0,10520.0,6428208.0,1274380.0,20179000.0,409600.0,0.0,2330000.0,1089370.0,8730.0,237500.0,663068.0,20075376.0,1030.0,54941000.0,3630278.0,9462800.0,1244920.0,303318800.0,2879042.0,0.0,28536.0,49481980.0,9992.0,19514.0,11302472.0,971818.0,9238.0,172732.0,549000.0,20517104.0,47125600.0,15869629.0
1999,490.0,1209440.0,76165096.0,5500.0,771250.0,17330.0,314950.0,53696960.0,332849.0,17764.0,9516.0,133074030.0,3831893.0,982972.0,202194.0,668310.0,5804855.0,4210.0,6570084.0,1926828.0,3370200.0,1370.0,509860.0,2121485.0,170.0,8223700.0,1511520.0,780.0,59354796.0,566492700.0,6300.0,398600.0,2596072.0,15727900.0,46119980.0,360352260.0,1191912.0,17363226.0,175014540.0,6376068.0,21687742.0,154465300.0,22147000.0,15504.0,62823584.0,43218.0,37460.0,2840019.0,2660300.0,70.0,12950.0,170560.0,2862700.0,11348600.0,5600.0,58578.0,567584.0,2162435.0,1708894.0,13820671.0,3910.0,1597490.0,546131.0,16775003.0,2235591.0,27882210.0,22388610.0,999792.0,0.0,15202800.0,80.0,63832.0,23708880.0,2936400.0,3037870.0,220.0,6127640.0,0.0,6599237.0,72360.0,363556.0,2212147.0,2623937.0,3708900.0,17700.0,220.0,4289235.0,8083996.0,24000.0,18568014.0,7180944.0,1881500.0,382700.0,1910443.0,94396190.0,3630.0,67225700.0,613488.0,10751000.0,816208.0,30791.002,150900.0,8291300.0,521037.0,600.0,70700.0,24883400.0,3157461.0,3808649.0,1176452.0,10803379.0,1070.0,11000.0,6483500.0,4836.0,14084964.0,138793.0,8008760.0,214003.0,28860.0,5362.0,2245020.0,34520.0,2012500.0,86610.0,3234200.0,1240.0,5698902.0,0.0,342500.0,13080638.0,3720.0,69814680.0,9400.0,952995.0,13093446.0,350.0,35303148.0,626000.0,14272710.0,20320.0,39185650.0,950802.0,2528.0,48650.0,41844.0,3123706.0,19784064.0,15236.0,8130089.0,837178.0,1389790.0,490.0,20428912.0,6205020.0,18840.0,358083.0,12200319.0,5898779.0,0.0,9802623.0,1600.0,4247279900.0,3331320.0,4807306.0,3690.0,74343864.0,7356215.0,39437.0,34417132.0,9041300.0,416618.0,7455430.0,3357555.0,22286708.0,9080.0,148138.0,1400.0,70668.0,6366500.0,812365000.0,411992.0,2768050.0,26508040.0,9053455.0,16792.0,0.0,2533077.0,2949157.0,708780.0,1000.0,7592750.0,1693.0,2466180.0,7113200.0,58593.0,14898407.0,1901517.0,1228500.0,28153000.0,472070.0,300.0,32177.0,459792.0,10520.0,6390474.0,1271420.0,20172000.0,409800.0,0.0,2330000.0,1087970.0,8730.0,237075.0,665454.0,20111862.0,1030.0,54538000.0,3515559.0,9486400.0,1290605.0,303427400.0,2920251.0,0.0,28538.0,49356780.0,9991.0,19402.0,11543286.0,969434.0,9189.0,172251.0,549000.0,20604672.0,47089800.0,15763909.0
